Age,,Primary streaming service,Hours per day,While working,Fav genre,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,,
17,Young Adult,YouTube Music,1,No,Rock,No,Never,Rarely,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Very frequently,Rarely,3,1,0,0,No effect,,
17,Young Adult,Other streaming service,5,Yes,Jazz,Yes,Rarely,Never,Never,Rarely,Never,Never,Very frequently,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Very frequently,Sometimes,3,1,0,0,Improve,,
17,Young Adult,Spotify,10,No,EDM,Yes,Sometimes,Sometimes,Very frequently,Very frequently,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Sometimes,Sometimes,3,2,0,0,Improve,,
17,Young Adult,Spotify,4,Yes,Pop,Yes,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Rarely,Rarely,Very frequently,Very frequently,3,2,0,0,Improve,,
17,Young Adult,Spotify,2,Yes,Rock,No,Rarely,Never,Sometimes,Very frequently,Rarely,Sometimes,Never,Never,Never,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,3,2,0,0,Worsen,,
17,Young Adult,Spotify,1,No,Metal,No,Sometimes,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,3,2,0,0,Improve,,
17,Young Adult,Spotify,6,Yes,Rock,Yes,Sometimes,Rarely,Sometimes,Very frequently,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Sometimes,3,2,0,0,No effect,,
17,Young Adult,YouTube Music,1,Yes,Video game music,No,Sometimes,Never,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,3,2,0,0,Improve,,
17,Young Adult,Spotify,6,Yes,Rock,No,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,Very frequently,3,2,0,0,Improve,,
17,Young Adult,Spotify,7,Yes,Pop,Yes,Sometimes,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,3,2,0,0,Improve,,
17,Young Adult,Other streaming service,1,No,EDM,No,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Never,3,2,0,0,No effect,,
17,Young Adult,Spotify,3,Yes,Rock,No,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,3,2,0,0,Improve,,
17,Young Adult,Spotify,2,Yes,Video game music,Yes,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Sometimes,Very frequently,3,2,0,0,Improve,,
17,Young Adult,Spotify,3,Yes,Classical,No,Very frequently,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Very frequently,Never,Never,Rarely,Sometimes,3,2,0,0,Improve,,
17,Young Adult,Apple Music,2,Yes,Pop,Yes,Rarely,Rarely,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Never,3,2,0,0,Improve,,
17,Young Adult,YouTube Music,3,Yes,Pop,No,Rarely,Sometimes,Sometimes,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Very frequently,Never,Rarely,Very frequently,Rarely,3,2,0,0,No effect,,
17,Young Adult,Spotify,1.5,Yes,Pop,No,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Never,3,2,0,0,Improve,,
17,Young Adult,Spotify,4,Yes,Lofi,Yes,Very frequently,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Never,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,3,2,0,0,Improve,,
17,Young Adult,Spotify,2,Yes,Rap,Yes,Very frequently,Never,Never,Never,Never,Very frequently,Never,Sometimes,Never,Rarely,Never,Very frequently,Very frequently,Very frequently,Never,Sometimes,3,2,0,0,No effect,,
17,Young Adult,Spotify,10,Yes,Metal,Yes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Rarely,3,2,0,0,Improve,,
17,Young Adult,Spotify,7,Yes,Pop,Yes,Very frequently,Sometimes,Very frequently,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Rarely,3,2,0,0,Improve,,
17,Young Adult,Spotify,1,Yes,EDM,No,Never,Never,Very frequently,Never,Never,Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Rarely,3,2,0,0,Improve,,
17,Young Adult,Spotify,2,No,Metal,No,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Sometimes,Never,3,2,0,0,Improve,,
17,Young Adult,Other streaming service,6,Yes,Jazz,Yes,Sometimes,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,3,2,0,0,Improve,,
17,Young Adult,Spotify,2,Yes,Jazz,No,Sometimes,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,3,2,0,0,Improve,,
17,Young Adult,Spotify,3,Yes,Folk,No,Rarely,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,3,2,0,0,Improve,,
17,Young Adult,Spotify,8,Yes,EDM,No,Never,Never,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,3,2,0,0,Improve,,
17,Young Adult,Spotify,3,Yes,Pop,Yes,Rarely,Very frequently,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,3,2,0,0,Worsen,,
17,Young Adult,Spotify,3,Yes,Rock,Yes,Rarely,Rarely,Sometimes,Very frequently,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Rarely,3,2,1,0,Improve,,
17,Young Adult,I do not use a streaming service.,3,Yes,Rock,No,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Very frequently,Very frequently,3,2,1,0,No effect,,
18,Young Adult,Spotify,2,No,Pop,No,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Sometimes,Very frequently,Very frequently,Rarely,3,2,1,0,Improve,,
18,Young Adult,Spotify,1,No,Rock,No,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,3,2,1,0,No effect,,
18,Young Adult,Spotify,2,Yes,Metal,Yes,Rarely,Never,Never,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,3,2,1,0,No effect,,
18,Young Adult,Spotify,2,Yes,Pop,Yes,Rarely,Never,Never,Never,Never,Rarely,Very frequently,Very frequently,Never,Very frequently,Never,Very frequently,Very frequently,Sometimes,Never,Sometimes,3,2,1,0,Improve,,
18,Young Adult,I do not use a streaming service.,4,Yes,Rock,Yes,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Sometimes,3,2,1,0,Improve,,
18,Young Adult,YouTube Music,4,Yes,Pop,No,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Rarely,3,2,1,0,Improve,,
18,Young Adult,Spotify,1,Yes,Metal,Yes,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Sometimes,3,2,1,0,Improve,,
18,Young Adult,Spotify,2,No,R&B,Yes,Sometimes,Never,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Sometimes,Never,Sometimes,Very frequently,Rarely,Rarely,Sometimes,3,2,1,0,No effect,,
18,Young Adult,Other streaming service,2,Yes,K pop,Yes,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,3,2,1,0,,,
18,Young Adult,Other streaming service,1,Yes,EDM,No,Sometimes,Never,Very frequently,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Sometimes,3,2,1,0,Improve,,
18,Young Adult,Spotify,3,Yes,Metal,No,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,3,2,1,0,No effect,,
18,Young Adult,Spotify,10,Yes,Metal,Yes,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,3,2,1,0,Improve,,
18,Young Adult,Spotify,1,No,Metal,Yes,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,3,2,1,0,No effect,,
18,Young Adult,Spotify,3,Yes,Metal,Yes,Sometimes,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,Very frequently,Never,Rarely,Sometimes,Sometimes,Rarely,3,2,1,0,Improve,,
18,Young Adult,Spotify,1.5,Yes,Rock,No,Never,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Very frequently,Sometimes,Never,Sometimes,Very frequently,Sometimes,3,2,1,0,Improve,,
18,Young Adult,Spotify,3,Yes,K pop,Yes,Sometimes,Never,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,3,2,1,0,,,
18,Young Adult,YouTube Music,2.5,Yes,Rock,Yes,Sometimes,Rarely,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,3,2,1,0,Improve,,
18,Young Adult,Pandora,2,Yes,Gospel,No,Rarely,Sometimes,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,3,2,1,0,Improve,,
18,Young Adult,YouTube Music,5,Yes,Metal,Yes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,Very frequently,Very frequently,Never,Never,Sometimes,Very frequently,Sometimes,3,2,1,0,No effect,,
18,Young Adult,Apple Music,2,Yes,Pop,No,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Rarely,Sometimes,Rarely,3,2,1,0,Improve,,
18,Young Adult,Spotify,2,No,Metal,No,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Sometimes,Rarely,3,2,1,0,Improve,,
18,Young Adult,I do not use a streaming service.,2,No,Video game music,No,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,3,2,1,0,No effect,,
18,Young Adult,Spotify,2,Yes,R&B,Yes,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Rarely,Never,Never,3,2,1,0,No effect,,
18,Young Adult,Spotify,1,Yes,Rock,Yes,Rarely,Never,Very frequently,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Rarely,Never,Never,Very frequently,Very frequently,3,2,1,0,No effect,,
18,Young Adult,YouTube Music,1.5,Yes,Pop,No,Never,Rarely,Rarely,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,3,2,1,0,Improve,,
18,Young Adult,Spotify,5,Yes,Folk,Yes,Sometimes,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,3,2,1,0,Improve,,
18,Young Adult,Spotify,0.5,No,Rock,Yes,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Very frequently,Never,4,2,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,Rock,Yes,Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Never,Rarely,Very frequently,Very frequently,4,2,1,0,Improve,,
18,Young Adult,Other streaming service,0.5,No,Pop,No,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Never,Sometimes,Rarely,4,2,1,0,No effect,,
18,Young Adult,I do not use a streaming service.,2,Yes,Rock,Yes,Rarely,Sometimes,Rarely,Sometimes,Never,Very frequently,Rarely,Never,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Apple Music,2.5,Yes,R&B,No,Rarely,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Sometimes,4,2,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,K pop,Yes,Very frequently,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,4,2,1,0,Improve,,
18,Young Adult,Apple Music,2,No,Pop,No,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Never,Sometimes,Never,Very frequently,Rarely,Rarely,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,1,Yes,Pop,Yes,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Never,4,2,1,0,Improve,,
18,Young Adult,Spotify,4,Yes,Classical,Yes,Very frequently,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,4,2,1,0,Improve,,
18,Young Adult,Spotify,5,Yes,Rock,No,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Very frequently,Never,4,2,1,0,No effect,,
18,Young Adult,Spotify,2,Yes,Rock,No,Rarely,Never,Very frequently,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,4,2,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,Rock,Yes,Very frequently,Rarely,Rarely,Very frequently,Never,Rarely,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Very frequently,Very frequently,4,2,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,R&B,Yes,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Very frequently,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,1,Yes,Video game music,Yes,Sometimes,Sometimes,Rarely,Very frequently,Never,Never,Never,Rarely,Rarely,Never,Very frequently,Rarely,Never,Never,Very frequently,Very frequently,4,2,1,0,Improve,,
18,Young Adult,Apple Music,4,Yes,R&B,Yes,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,1,No,Rock,No,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,4,2,1,0,Improve,,
18,Young Adult,Other streaming service,4,Yes,Pop,No,Rarely,Very frequently,Rarely,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Never,Sometimes,Never,4,2,1,0,Improve,,
18,Young Adult,Spotify,5,Yes,Rock,Yes,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,4,2,1,0,No effect,,
18,Young Adult,Spotify,7,Yes,Rock,Yes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,4,2,1,0,Improve,,
18,Young Adult,YouTube Music,2,Yes,Rock,No,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,3,Yes,Rock,Yes,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,4,2,1,0,Improve,,
18,Young Adult,YouTube Music,2,Yes,Pop,No,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Sometimes,4,2,1,0,Improve,,
18,Young Adult,Spotify,3,Yes,Rock,Yes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Other streaming service,3,Yes,Folk,Yes,Rarely,Rarely,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,4,2,1,0,Improve,,
18,Young Adult,Spotify,3,Yes,Rock,No,Never,Rarely,Never,Very frequently,Never,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,5,Yes,Metal,Yes,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,4,2,1,0,Improve,,
18,Young Adult,I do not use a streaming service.,6,Yes,Classical,Yes,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,2,No,R&B,Yes,Sometimes,Never,Rarely,Never,Never,Very frequently,Rarely,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,4,2,1,0,Improve,,
18,Young Adult,YouTube Music,2,No,Metal,No,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,1,No,Rock,No,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,1,Yes,Pop,Yes,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,4,2,1,0,No effect,,
18,Young Adult,Spotify,3,No,Rock,No,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,3,Yes,Rap,Yes,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,4,2,1,0,Improve,,
18,Young Adult,Spotify,1,No,Pop,Yes,Never,Never,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Very frequently,Sometimes,Rarely,Sometimes,Rarely,4,2,1,0,No effect,,
18,Young Adult,Spotify,6,Yes,Rock,Yes,Never,Never,Rarely,Very frequently,Never,Rarely,Rarely,Never,Very frequently,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,4,Yes,Rock,No,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Never,4,2,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,Metal,Yes,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,4,2,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,Folk,Yes,Never,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Rarely,4,2,1,0,Improve,,
18,Young Adult,Spotify,3,Yes,Rock,Yes,Sometimes,Rarely,Rarely,Very frequently,Never,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Sometimes,4,2,1,0,Improve,,
18,Young Adult,I do not use a streaming service.,8,Yes,Video game music,Yes,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Very frequently,4,3,1,0,No effect,,
18,Young Adult,Spotify,3,Yes,Rock,No,Sometimes,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Very frequently,Rarely,4,3,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,K pop,Yes,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,4,3,1,0,Improve,,
18,Young Adult,Spotify,7,Yes,Pop,Yes,Never,Sometimes,Very frequently,Rarely,Rarely,Sometimes,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,4,3,1,0,Improve,,
18,Young Adult,YouTube Music,12,Yes,K pop,Yes,Never,Never,Never,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Never,4,3,1,0,Improve,,
18,Young Adult,YouTube Music,9,Yes,Pop,Yes,Rarely,Rarely,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Very frequently,Never,Rarely,Sometimes,Sometimes,4,3,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,Pop,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Never,4,3,1,0,Improve,,
18,Young Adult,Spotify,1,Yes,Folk,Yes,Never,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Very frequently,4,3,1,0,Improve,,
18,Young Adult,Other streaming service,1,No,Country,No,Never,Very frequently,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Very frequently,Rarely,Sometimes,Sometimes,Rarely,4,3,1,0,Improve,,
18,Young Adult,Apple Music,2,Yes,Metal,Yes,Sometimes,Never,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Never,4,3,1,0,No effect,,
18,Young Adult,I do not use a streaming service.,4,Yes,Rock,No,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,4,3,1,0,Improve,,
18,Young Adult,Spotify,2,Yes,Rock,Yes,Rarely,Never,Never,Sometimes,Never,Sometimes,Rarely,Never,Never,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,4,3,1,0,Improve,,
18,Young Adult,YouTube Music,6,Yes,Rock,No,Sometimes,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Sometimes,Never,Rarely,Very frequently,Never,4,3,1,0,No effect,,
18,Young Adult,Spotify,4,Yes,Country,Yes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,4,3,1,0,Improve,,
18,Young Adult,Other streaming service,1,No,Rock,No,Never,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Rarely,Very frequently,Never,5,3,2,0,No effect,,
18,Young Adult,Spotify,6,Yes,Folk,Yes,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Very frequently,Never,5,3,2,0,No effect,,
18,Young Adult,Spotify,2,No,Metal,,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Never,Never,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,5,3,2,0,Improve,,
18,Young Adult,Spotify,5,Yes,Folk,Yes,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Sometimes,Very frequently,Sometimes,Never,Very frequently,Very frequently,5,3,2,0,Improve,,
18,Young Adult,I do not use a streaming service.,1.5,No,Pop,Yes,Rarely,Never,Very frequently,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Never,Never,Very frequently,Rarely,Sometimes,Sometimes,Never,5,3,2,0,No effect,,
18,Young Adult,Spotify,5,Yes,Metal,Yes,Sometimes,Rarely,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Never,5,3,2,0,Improve,,
19,Young Adult,Spotify,2,Yes,EDM,No,Rarely,Rarely,Very frequently,Rarely,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Rarely,5,3,2,0,Improve,,
19,Young Adult,Apple Music,4,Yes,K pop,Yes,Very frequently,Rarely,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Very frequently,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,Sometimes,Rarely,5,3,2,0,Improve,,
19,Young Adult,Spotify,2,Yes,Rock,No,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Rarely,Very frequently,Never,5,3,2,0,Improve,,
